Ticker,EV/TTM,TTM Rev Growth,NTM Rev Growth,GP Margin,R&D Margin,S&M Margin,EBITDA Margin
SMAR US Equity,22.46783098,1.730067974,0.760249162,0.805110873,0.337878529,0.655487942,-0.403602599
OKTA US EQUITY,17.24465707,2.773790262,0.308144789,0.70405158,0.218451858,0.533546168,-0.35956446
MDB US Equity,16.75127054,1.945274318,0.412487451,0.720585093,0.323562612,0.571938348,-0.560197877
TEAM US Equity,16.24458722,1.072874777,0.324274031,0.812349078,0.438848921,0.198422248,0.045932972
TENB US Equity,15.77760471,0.509411358,0.567046829,0.863695686,0.307217395,0.619511312,-0.192130061
VEEV US EQUITY,14.99891246,0.872396578,0.190345121,0.697852072,0.172339942,0.17083516,0.245623995
PAYC US Equity,14.87319187,0.51311444,0.248443863,0.836270259,0.061100982,0.30221594,0.2974391
COUP US Equity,14.86141948,1.618310667,0.213140419,0.688600843,0.203272553,0.404947625,-0.159579178
AYX US Equity,14.55480168,0.892528267,0.381423996,0.864769664,0.180721853,0.409090909,-0.08343188
SHOP US EQUITY,13.78150188,1.192415175,0.418614459,0.564648835,0.159326736,0.264410894,-0.048478572
SSTI US Equity,13.29596562,0.882956084,0.358231446,0.545703612,0.142436385,0.211616836,0.031302442
NOW US Equity,13.27660805,0.628764348,0.305945997,0.753499847,0.166688008,0.417966035,0.026210495
ZUO US Equity,13.11747675,0.82163933,0.523885521,0.524159451,0.230095399,0.435233377,-0.236580399
TWLO US EQUITY,12.34100291,0.776364325,0.355452575,0.531515393,0.245081681,0.204342654,-0.13976901
APPF US Equity,12.17994135,0.566306139,0.244709155,0.619476356,0.100241867,0.173594147,0.188348047
AVLR US Equity,11.85648084,0.273153513,0.326756083,0.728010546,0.193583194,0.627672301,-0.203148823
EVBG US Equity,11.84840509,0.598365562,0.32774286,0.692236298,0.181074348,0.382632624,-0.200809262
NEWR US Equity,11.57891232,1.113414116,0.278703798,0.830894533,0.193986654,0.540269481,-0.005895386
ZEN US Equity,11.05783691,0.627841756,0.315197338,0.700981532,0.227002176,0.434629887,-0.169418548
HUBS US Equity,10.73443143,0.62897696,0.264314147,0.802233365,0.159431716,0.48223716,-0.055513968
BL US Equity,10.6739201,0.647474477,0.216651384,0.776422042,0.117697518,0.541184764,-0.066416225
SEND US Equity,10.49736688,0.60503697,0.217298443,0.742339564,0.231064238,0.219699273,0.035092642
WDAY US Equity,10.48370926,1.099293674,0.284822043,0.706490989,0.374998765,0.281425745,-0.044409677
QLYS US Equity,9.9139303,0.29056966,0.189515182,0.767918385,0.167619286,0.249984341,0.262801641
RNG US Equity,9.78354475,0.531306949,0.246186416,0.762424464,0.129237077,0.447258175,0.003408031
TLND US Equity,9.679609599,0.665204182,0.315550897,0.76684703,0.152052582,0.492347792,-0.174088449
GWRE US Equity,9.666730301,0.557481988,0.134075669,0.551169549,0.259666569,0.187752527,0.042780838
QTWO US Equity,9.569033601,0.432534082,0.234901325,0.495053459,0.187443367,0.19130952,-0.035297234
FIVN US Equity,9.162351392,0.391257943,0.180032726,0.59036668,0.120261276,0.295198861,0.047195456
TWOU US Equity,9.124224914,0.683825244,0.366935053,0.830042213,0.13248942,0.435389555,-0.077149426
YEXT US Equity,9.051454345,1.212819313,0.255078245,0.744377783,0.129377515,0.639559189,-0.342540407
CBLK US Equity,8.916156011,0.393800704,0.398829731,0.780031355,0.321250015,0.661609491,-0.296943474
TRHC US Equity,8.828778801,0.804586337,0.284047059,0.310098209,0.033156006,0.032649358,0.100940834
SPLK US Equity,8.822882751,1.166729749,0.288999377,0.792802401,0.207905999,0.55817645,-0.177659879
PVTL US Equity,8.805808384,0.813752786,0.443557189,0.55167283,0.315931736,0.434180152,-0.286707261
CRM US Equity,8.79129898,0.772530543,0.218889926,0.740367189,0.131417626,0.408643996,0.110687872
INTU US Equity,8.767223256,0.270558159,0.108406774,0.837022133,0.198859826,0.273977197,0.305667337
DBX US Equity,8.631782255,0.310132576,0.337772859,0.666696784,0.34360318,0.283700759,0.061528731
PTC US Equity,8.607293699,0.083425907,0.075705501,0.732172417,0.191035241,0.301813653,0.138202112
PCTY US Equity,8.482147237,0.636434172,0.198891735,0.604804422,0.099714722,0.252919659,0.123201784
ULTI US Equity,8.431440489,0.325320527,0.202372663,0.626164585,0.145426047,0.260541923,0.11049378
PFPT US Equity,8.431342114,0.635293052,0.290121587,0.716083165,0.2113897,0.421527052,-0.037534647
SSNC US Equity,8.405979502,0.467727934,1.003082767,0.412073985,0.070519628,0.054475716,0.344201587
WIX US Equity,8.090397735,0.770002378,0.314129192,0.814915019,0.299201726,0.398133921,-0.054056317
FTNT US Equity,7.57903095,0.278916424,0.170748873,0.749036421,0.129117176,0.429764864,0.13105687
DATA US Equity,7.494461652,0.200528936,0.060124762,0.871179509,0.336581823,0.521214905,-0.124851803
CYBR US Equity,7.200652568,0.360407732,0.185186065,0.845334966,0.143846587,0.430087348,0.115185183
EPAY US Equity,7.057365972,0.148050828,0.084931083,0.560690798,0.14542142,0.217997645,0.138235354
MSFT US Equity,6.878482964,0.210698379,0.113605129,0.652473722,0.133436028,0.158291047,0.410646974
MB US Equity,6.871662755,0.523072054,0.318873708,0.707418085,0.169123307,0.339214788,-0.054009471
CHKP US Equity,6.848682158,0.089373405,0.033457798,0.895454074,0.101419823,0.228489025,0.500626012
APPN US Equity,6.815206805,0.555705183,0.064408648,0.623321356,0.168456736,0.396375049,-0.148054297
RP US Equity,6.799578066,0.362881252,0.214567908,0.607191611,0.115527625,0.213200205,0.196258254
MIME US Equity,6.753449137,0.989149823,0.237610006,0.732678096,0.136005501,0.429732441,0.062447057
VRNS US Equity,6.750555812,0.474728803,0.17627243,0.900197083,0.195313531,0.560331178,-0.084031535
MDSO US EQUITY,6.697516097,0.315820027,0.180640156,0.756062566,0.227256177,0.207097942,0.13472281
PRO US Equity,6.584861424,0.197950103,0.12118159,0.596355456,0.305097023,0.37096783,-0.240979866
RPD US Equity,6.524921793,0.405057261,0.17806318,0.703654474,0.230271961,0.504470905,-0.213805072
UPLD US Equity,6.502958512,0.624780986,0.345316101,0.669822183,0.125559763,0.126004281,0.210594337
ALTR US Equity,6.47357623,0.155989018,0.11455612,0.692304933,0.257479937,0.220816234,-0.009593982
TTWO US Equity,6.416587222,0.24684197,0.703601606,0.526222892,0.111407318,0.145287401,0.162910786
CDNS US Equity,6.17114403,0.139757379,0.063581034,0.88264761,0.388533422,0.202503606,0.250359197
RHT US Equity,6.073912869,0.538125356,0.140213148,0.852368067,0.183213705,0.379706309,0.190929634
WK US Equity,6.029720314,0.262888618,0.134346882,0.713895663,0.302167457,0.373037543,-0.216065979
VMW US Equity,5.819358498,0.193712111,0.072606,0.860399197,0.207275304,0.306247786,0.29703555
SPSC US Equity,5.692442855,0.213342301,0.088234918,0.666298567,0.098847497,0.312514657,0.106347508
ALRM US Equity,5.549719015,0.440024358,0.092588012,0.668661354,0.193497855,0.115665201,0.209577685
MITK US Equity,5.505567784,0.597245036,0.396763252,0.870999175,0.188178833,0.261321402,0.116396359
UBI FP Equity,5.492856902,0.454429349,0.30537113,0.828615372,0.398754196,0.19589767,0.46475073
ELLI US Equity,5.485530549,0.284680184,0.155339407,0.591959407,0.149650752,0.140524704,0.185519746
INST US Equity,5.470949539,0.667000361,0.251313319,0.70595174,0.261273446,0.452917976,-0.217694509
NTNX US Equity,5.397203531,1.295260325,0.182360746,0.665907083,0.271560949,0.562251127,-0.192136843
EA US Equity,5.344690058,0.100545951,0.115125052,0.724059529,0.272840017,0.132492766,0.237908227
EBIX US Equity,5.291464596,0.442660597,0.27187065,0.636273421,0.078668578,0.037884263,0.337254291
LPSN US Equity,5.194544537,0.049398731,0.107235739,0.746432593,0.171243541,0.388841837,0.041850597
INOV US Equity,5.052132757,0.113284283,0.335533489,0.688948322,0.057524048,0.071640894,0.21141868
APTI US Equity,4.782292284,0.32328158,0.172182532,0.692937619,0.190843287,0.4139205,-0.067484991
EGHT US Equity,4.760393012,0.48386804,0.179398443,0.755378641,0.112021814,0.59249196,-0.043202941
CYRN US Equity,4.745968222,0.029887358,0.210003447,0.59622677,0.30790686,0.487354665,-0.38989
BOX US Equity,4.659730525,0.832509646,0.205468463,0.727027563,0.246600013,0.546808411,-0.18767712
CARB US EQUITY,4.656080411,0.280709806,0.241613194,0.71521263,0.174130198,0.342986695,0.133656998
PEGA US Equity,4.566647755,0.134685565,0.08984208,0.655663698,0.191334358,0.360864826,0.019566178
IMPV US Equity,4.490807431,0.300852697,0.074856766,0.797739638,0.184444373,0.442356046,0.02051032
ORCL US Equity,4.489238136,0.075282749,0.013397856,0.796691435,0.152901898,0.211642735,0.428105231
HDP US Equity,4.446307662,0.677378958,0.215360798,0.7125183,0.326730465,0.646997036,-0.527208147
BNFT US Equity,4.386131821,0.080677995,0.069892132,0.500908144,0.196498255,0.274746193,-0.044693393
SNPS US Equity,4.385154998,0.247711073,0.071619985,0.764383236,0.300679874,0.181712554,0.215145139
BLKB US Equity,4.297305548,0.139884923,0.045615783,0.553517521,0.107930544,0.208302073,0.194882629
CA US Equity,4.281917358,0.030559006,0.033148505,0.854869817,0.154773385,0.255785921,0.347155256
ATTU US Equity,4.182978256,0.335945242,0.192840758,0.852529496,0.192442412,0.493028942,0.049642175
FEYE US Equity,4.027924429,0.111365972,0.07486625,0.656266944,0.306527376,0.468643293,-0.161625771
CLDR US Equity,3.994548051,1.475573328,0.184810638,0.680254181,0.524723644,0.726084016,-0.429358932
ATHN US Equity,3.78455515,0.188013667,0.099755927,0.541702286,0.134939759,0.196035756,0.253245239
JCOM US Equity,3.687690719,0.325137403,0.080987788,0.840968727,0.039709696,0.285104635,0.356364127
FSCT US Equity,3.684080543,0.544002973,0.174726226,0.75474664,0.184139936,0.586534318,-0.322065349
LOGM US Equity,3.596181813,2.362920599,0.081155047,0.781623121,0.138679137,0.306998947,0.344775565
NUAN US Equity,3.350549974,0.030231366,0.047487301,0.564015421,0.13253024,0.198289589,0.171746386
ZNGA US Equity,3.236938149,0.191162904,0.110919751,0.690714628,0.289884414,0.240083247,0.093039477
AMBR US Equity,3.171639535,0.120361861,0.089157739,0.54081939,0.182285465,0.274824418,-0.052773514
CVLT US Equity,3.170061922,0.192349183,0.072713001,0.853301436,0.132700487,0.578816457,0.028356901
TYPE US Equity,3.126123437,0.193923545,0.017802077,0.811736027,0.155060047,0.376742022,0.164929429
OSPN US Equity,2.987260365,0.04323363,0.110902312,0.71395388,0.115238912,0.29406135,0.092239978
AGYS US Equity,2.573051403,0.059285845,0.13566846,0.514784087,0.219102445,0.141762482,0.05235212
SCWX US Equity,2.267289869,0.453275487,0.095959013,0.515184856,0.162466383,0.306719036,-0.066681664
GLUU US Equity,2.258037634,0.660157243,0.178452594,0.540853339,0.277540871,0.313385146,-0.128055592
ECOM US Equity,2.094648772,0.133454064,0.048298222,0.790221885,0.170434972,0.494867778,-0.033832916
QADB US Equity,2.084546803,0.181963779,0.034475094,0.514730021,0.145126077,0.229492922,0.020635728
MOBL US Equity,1.892218626,0.106407769,0.126432852,0.830119818,0.415451373,0.531937652,-0.259366264
MGIC US Equity,1.379867279,0.347395931,0.107851761,0.322370143,0.025550521,0.100273466,0.154341049
ATEN US Equity,1.256451264,0.017831296,0.008428788,0.777168789,0.272275773,0.438124054,-0.040006785
